departamento,codigo_municipio,municipio,grupo,variable,año,menores a 1 año,de 1 a 4 años,de 5 a 14 años,de 15 a 59 años,de 60 y más años,total
COCHABAMBA,31205,PUERTO VILLARROEL,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31206,ENTRE RIOS CBBA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31301,MIZQUE,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31302,VILA VILA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31303,ALALAY,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31304,RAQAYPAMPA(ETA),sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31401,PUNATA,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31402,VILLA RIVERO,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31403,SAN BENITO,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31404,TACACHI,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31405,CUCHUMUELA (V. G. VILLARROEL),sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31501,BOLIVAR,sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31601,TIRAQUE (CBBA),sospecha diagnostica,tosferina,2001,,,,,,
COCHABAMBA,31602,SHINAOTA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40101,ORURO,sospecha diagnostica,tosferina,2001,1.0,1.0,1.0,0.0,0.0,3.0
ORURO,40102,CARACOLLO,sospecha diagnostica,tosferina,2001,0.0,0.0,1.0,0.0,0.0,1.0
ORURO,40103,EL CHORO,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40104,SORACACHI,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40201,CHALLAPATA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40202,SANTUARIO DE QUILLACAS,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40301,CORQUE,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40302,CHOQUE COTA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40401,CURAHUARA DE CARANGAS,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40402,TURCO,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40501,HUACHACALLA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40502,ESCARA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40503,CRUZ DE MACHACAMARCA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40504,YUNGUYO DE LITORAL,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40505,ESMERALDA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40601,POOPO,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40602,PAZÑA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40603,ANTEQUERA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40701,HUANUNI,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40702,MACHACAMARCA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40801,SALINAS DE GARCI MENDOZA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40802,PAMPA AULLAGAS,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40901,SABAYA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40902,COIPASA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,40903,CHIPAYA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41001,TOLEDO,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41101,EUCALIPTUS,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41201,ANDAMARCA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41202,BELEN DE ANDAMARCA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41301,TOTORA(ORR),sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41401,SANTIAGO DE HUARI,sospecha diagnostica,tosferina,2001,1.0,0.0,0.0,0.0,0.0,1.0
ORURO,41501,LA RIVERA,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41502,TODOS SANTOS,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41503,CARANGAS,sospecha diagnostica,tosferina,2001,,,,,,
ORURO,41601,HUAYLLAMARCA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50101,POTOSI,sospecha diagnostica,tosferina,2001,1.0,0.0,0.0,0.0,0.0,1.0
POTOSI,50102,TINGUIPAYA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50103,YOCALLA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50104,BELEN DE URMIRI,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50201,UNCIA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50202,CHAYANTA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50203,LLALLAGUA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50204,CHUQUIHUTA AYLLU JUCUMANI,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50301,BETANZOS,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50302,CHAQUI,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50303,TACOBAMBA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50401,COLQUECHACA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50402,RAVELO,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50403,POCOATA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50404,OCURI,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50405,SAN PEDRO DE MACHA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50501,SAN PEDRO DE BUENA VISTA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50502,TORO TORO,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50601,COTAGAITA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50602,VITICHI,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50701,SACACA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50702,CARIPUYO,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50801,TUPIZA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50802,ATOCHA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50901,"COLCHA ""K""",sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,50902,SAN PEDRO DE QUEMES,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51001,SAN PABLO DE LIPEZ,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51002,MOJINETE,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51003,SAN ANTONIO DE ESMORUCO,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51101,PUNA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51102,"CAIZA ""D""",sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51103,CKOCHAS,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51201,UYUNI,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51202,TOMAVE,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51203,PORCO,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51301,ARAMPAMPA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51302,ACACIO,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51401,LLICA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51402,TAHUA,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51501,VILLAZON,sospecha diagnostica,tosferina,2001,,,,,,
POTOSI,51601,SAN AGUSTIN,sospecha diagnostica,tosferina,2001,,,,,,
TARIJA,60101,TARIJA,sospecha diagnostica,tosferina,2001,2.0,0.0,0.0,0.0,0.0,2.0
TARIJA,60201,PADCAYA,sospecha diagnostica,tosferina,2001,,,,,,
TARIJA,60202,BERMEJO,sospecha diagnostica,tosferina,2001,,,,,,
TARIJA,60301,YACUIBA,sospecha diagnostica,tosferina,2001,4.0,1.0,0.0,0.0,0.0,5.0
TARIJA,60302,CARAPARI,sospecha diagnostica,tosferina,2001,,,,,,
TARIJA,60303,VILLA MONTES,sospecha diagnostica,tosferina,2001,,,,,,
TARIJA,60401,URIONDO (A. CONCEPCION),sospecha diagnostica,tosferina,2001,,,,,,
TARIJA,60402,YUNCHARA,sospecha diagnostica,tosferina,2001,,,,,,
TARIJA,60501,SAN LORENZO(TJA),sospecha diagnostica,tosferina,2001,,,,,,
TARIJA,60502,EL PUENTE(TJA),sospecha diagnostica,tosferina,2001,,,,,,
TARIJA,60601,ENTRE RIOS TRJ,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tosferina,2001,1.0,3.0,0.0,0.0,0.0,4.0
SANTA CRUZ,70102,COTOCA,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70103,PORONGO,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70104,LA GUARDIA,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70105,EL TORNO,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70201,WARNES,sospecha diagnostica,tosferina,2001,1.0,0.0,0.0,0.0,0.0,1.0
SANTA CRUZ,70202,OKINAWA,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70301,SAN IGNACIO DE VELASCO,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70302,SAN MIGUEL DE VELASCO,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,70303,SAN RAFAEL,sospecha diagnostica,tosferina,2001,,,,,,
